country,n,r2,r2_uncalibrated,mae
Latvia,5,0.9631,0.9331,0.582
Germany,5,0.9427,0.7629,0.6351
China,5,0.9376,0.9267,0.7179
South Korea,5,0.9271,0.9579,0.9929
Mauritius,5,0.9114,0.856,0.932
Denmark,5,0.9074,0.8458,0.7768
Turkey,5,0.9069,0.8789,1.2589
Netherlands,5,0.9066,0.7889,0.6342
Costa Rica,5,0.9032,0.9297,0.6029
Norway,5,0.8971,0.9145,0.7031
Israel,5,0.8943,0.8075,0.9678
Uganda,5,0.8876,0.8938,1.9026
Slovenia,5,0.8797,0.7603,0.8242
Austria,5,0.8748,0.5101,0.7656
United States,5,0.8549,0.7157,1.2866
Sweden,5,0.8535,0.8141,1.132
Belgium,5,0.8508,0.9064,0.5872
Slovakia,5,0.8462,0.8889,0.7554
Greece,5,0.8353,0.8352,1.4905
France,5,0.8337,0.9212,0.6149
Jamaica,5,0.8299,0.7816,0.6154
United Kingdom,5,0.8246,0.7681,1.6255
Ireland,5,0.824,0.757,1.0304
Romania,5,0.8109,0.8153,0.9091
Kenya,5,0.8032,0.7242,2.665
Luxembourg,5,0.7827,0.7702,1.2065
Cambodia,5,0.7741,0.7735,1.1047
Spain,5,0.7589,0.6881,3.4214
Argentina,5,0.748,0.7107,1.2225
Mexico,5,0.7382,0.7573,0.868
Iceland,5,0.7264,0.7256,1.9103
Thailand,5,0.7036,0.5456,1.5089
Trinidad and Tobago,5,0.6869,0.935,0.9353
Lebanon,5,0.674,0.705,7.3808
Poland,5,0.6613,0.6127,0.7935
Portugal,5,0.6608,0.6355,0.9232
Philippines,5,0.6583,0.5154,3.3739
Iran,5,0.6497,0.6724,1.8606
Indonesia,5,0.6375,0.5044,5.6703
Nicaragua,5,0.6365,0.7889,3.0951
Italy,5,0.6346,0.5821,17.5157
Peru,5,0.6285,0.5862,9.6392
Brazil,5,0.6064,0.4191,1.1062
Belize,5,0.5785,0.747,2.9262
Guatemala,5,0.5784,0.5673,1.851
Bosnia and Herzegovina,5,0.5757,0.5772,3.4078
Australia,5,0.5697,0.5443,7.0049
Japan,5,0.5682,0.4431,9.5064
Russia,5,0.543,0.3081,1.2882
Zambia,4,0.5251,0.6488,2.0456
Croatia,5,0.4978,0.4724,3.3891
Malaysia,5,0.4756,0.2252,3.0002
Saudi Arabia,5,0.4545,0.4036,2.4629
Morocco,5,0.4385,0.574,1.3177
Pakistan,5,0.3719,0.3385,8.6041
Georgia,5,0.3685,0.4378,51.6944
Egypt,5,0.3383,0.5278,0.9782
New Zealand,5,0.308,-0.1022,2.1102
Canada,5,0.2456,0.5406,0.5886
Finland,5,0.233,0.7138,1.2861
South Africa,5,0.2094,0.4826,0.986
Colombia,5,0.208,-0.0273,1.0686
Sri Lanka,3,0.0959,0.6136,1.8737
Nepal,4,0.0301,-0.3618,2.6761
Bahrain,3,0.0032,-0.1343,1.8233
Malawi,4,-0.0367,-0.3785,2.4856
Laos,5,-0.0585,-0.1377,2.3189
Czechia,5,-0.2457,-0.6047,1.1335
Kazakhstan,5,-0.255,-0.3616,2.6914
Paraguay,4,-0.2651,-0.3021,2.4569
Uruguay,5,-0.352,-0.3562,1.1768
Bulgaria,5,-0.391,-0.2684,4.5783
Kuwait,5,-0.4797,0.4407,4.2469
Vietnam,5,-0.733,-0.6181,2.3154
Iraq,3,-0.7367,-0.625,5.5227
Eswatini,3,-0.9191,-0.9605,3.9813
Ecuador,5,-1.0445,-0.8956,1.5863
Guinea,2,-1.1375,-2.0637,1.1679
Qatar,3,-1.2637,-1.4969,2.4416
Dominican Republic,5,-1.3315,-1.4891,4.1227
Mongolia,5,-1.5137,-0.5844,1.3943
Angola,3,-1.8022,-0.9752,2.9949
Bangladesh,4,-1.8677,-1.2531,2.8528
Djibouti,5,-2.0364,-1.1582,2.27
Botswana,3,-2.1259,-2.7892,1.6767
India,5,-2.2984,-11.2677,1.3461
Hungary,5,-2.8246,-5.8534,15.6633
Cote d'Ivoire,3,-2.9526,-1.2419,3.9649
Gambia,2,-3.4617,-1.7688,5.2625
Myanmar,2,-4.0252,-5.1761,2.6593
Cameroon,4,-4.0798,-3.3174,4.4753
Haiti,2,-4.2407,-5.6829,1.3118
Chile,5,-4.3215,-0.6152,7.0482
Senegal,3,-4.38,-0.6213,1.778
Ghana,3,-4.3848,-5.4529,2.2265
Lithuania,3,-4.7904,-4.33,6.6154
Congo,3,-4.9564,-6.6524,2.1341
Burkina Faso,2,-5.3064,-3.2558,3.0909
Tunisia,4,-5.8957,-3.4805,1.6125
Togo,2,-7.0932,-6.2874,2.3525
Nigeria,3,-8.7425,-34.3989,1.1599
El Salvador,3,-13.3976,-9.8829,3.2707
Bhutan,5,-19.1283,-5.0127,3.3297
Panama,5,-30.9088,-14.9572,2.4691
Democratic Republic of Congo,3,-48.837,-41.9525,4.1631
Bolivia,2,-68.1701,-86.3983,2.4422
