country,n_samples,best_coverage,best_speed,best_stringency,best_speed_applied,mean_reduction,baseline_pred,best_pred
Hungary,5,3.0,1.5,0.75,1.5,0.23100779259204834,97.3198257446289,74.8632080078125
Zambia,4,1.5,5.0,2.0,5.0,0.1757004639516779,17.910188674926758,14.78743290901184
Chile,5,3.0,2.0,0.5,2.0,0.17462667635848916,33.75567207336426,27.880450439453124
Congo,3,3.0,3.0,0.5,3.0,0.14416461060153915,7.500357945760091,6.427006244659424
Togo,2,2.0,5.0,0.5,5.0,0.14365101007504844,8.152760744094849,6.978569507598877
Belize,5,1.5,3.0,0.5,3.0,0.14327551357356877,20.018751525878905,17.208998680114746
Guinea,2,2.0,3.0,2.0,3.0,0.13582961083757505,8.485962867736816,7.3403942584991455
Burkina Faso,2,3.0,5.0,0.75,5.0,0.1305641877792879,8.675973892211914,7.5432610511779785
Croatia,5,3.0,1.0,2.0,1.0,0.11427028798259597,30.281356811523438,26.806945037841796
Bolivia,2,1.5,2.0,1.25,2.0,0.11111766441304227,15.672205924987793,13.940233707427979
Saudi Arabia,5,2.0,3.0,1.25,3.0,0.1080459026275314,24.178841400146485,21.557595634460448
Cambodia,5,2.0,1.5,0.5,1.5,0.10694504990834189,22.411863708496092,20.007492065429688
South Africa,5,1.5,5.0,2.0,5.0,0.10437481291852971,28.89073028564453,25.876939010620116
Eswatini,3,1.0,2.0,2.0,2.0,0.10351483797924961,8.47882882754008,7.755986452102661
Dominican Republic,5,3.0,1.5,0.5,1.5,0.10150695086861058,25.044162368774415,22.508600997924805
India,5,3.0,3.0,0.5,3.0,0.10111764741514655,50.48276062011719,45.37079620361328
Vietnam,5,3.0,1.0,0.5,1.0,0.09911765405599866,32.67286262512207,29.486745834350586
China,5,3.0,2.0,0.5,2.0,0.09795779068715543,32.18690185546875,29.03290557861328
Pakistan,5,2.0,3.0,0.5,3.0,0.09562288853460812,35.30176277160645,32.09360580444336
Djibouti,5,2.0,5.0,0.5,5.0,0.09523389323804508,10.536425018310547,9.5331880569458
Costa Rica,5,3.0,1.0,0.5,1.0,0.09368472240232613,24.11297264099121,21.900617599487305
Egypt,5,2.0,5.0,1.0,5.0,0.09182996971419174,27.090756988525392,24.595838165283205
El Salvador,3,3.0,1.0,0.5,1.0,0.09084104310381187,14.844703992207846,13.49096647898356
Jamaica,5,2.0,3.0,0.5,3.0,0.08648326340970616,19.7391357421875,18.053535842895506
Slovenia,5,2.0,3.0,1.0,3.0,0.08627838094087595,27.5237979888916,25.152647399902342
Estonia,1,3.0,0.5,1.25,0.5,0.08525739541520877,0.40366077423095703,0.369245707988739
Mongolia,5,3.0,1.0,0.75,1.0,0.08361559691561618,18.625272750854492,17.06915283203125
Laos,5,0.5,0.5,2.0,0.5,0.082871487660444,10.061193752288819,9.248584079742432
Slovakia,5,3.0,3.0,0.5,3.0,0.0815031976362068,23.362952423095702,21.436700057983398
Nepal,4,2.0,2.0,0.5,2.0,0.07754203213447797,18.710195064544678,17.28323984146118
Kazakhstan,5,3.0,2.0,1.0,2.0,0.07649220010515005,15.603084182739257,14.390753936767577
Botswana,3,0.75,3.0,0.5,3.0,0.07483047500462899,3.4407918453216553,3.2066996097564697
Ukraine,1,3.0,3.0,1.0,3.0,0.07427104616008805,20.355825424194336,18.843976974487305
Panama,5,3.0,1.0,0.5,1.0,0.0737034678275505,25.736583709716797,23.838676071166994
Lebanon,5,2.0,3.0,0.5,3.0,0.06971327493595776,31.244114780426024,29.05746726989746
Ghana,3,3.0,3.0,0.5,3.0,0.0684284094238435,8.197485764821371,7.622055371602376
