country,n_samples,best_coverage,best_speed,best_stringency,best_speed_applied,mean_reduction,baseline_pred,best_pred
Hungary,5,3.0,2.0,1.0,2.0,0.2071607626026101,91.61694576676393,72.63955054050578
Chile,5,3.0,2.0,0.5,2.0,0.1915745058973063,32.992905059810646,26.695668988771
Togo,2,2.0,5.0,0.5,5.0,0.14396433530832464,8.198706137655384,7.022519738905629
Croatia,5,3.0,1.0,1.0,1.0,0.12862790026015752,29.794946753158786,25.939257060397
South Africa,5,2.0,3.0,2.0,3.0,0.12729859544941086,28.008284102889583,24.4507518976829
Vietnam,5,3.0,1.5,1.5,1.5,0.12089865249410699,32.565152330020204,28.656447703038758
India,5,3.0,3.0,0.5,3.0,0.1208236814877349,49.82125881490863,43.801710695942006
Zambia,4,1.5,5.0,2.0,5.0,0.11884474535092084,18.276084497353885,16.125838418264763
Estonia,1,2.0,1.0,0.5,1.0,0.11768308352171934,0.4821175865709545,0.4253805023632351
Eswatini,3,1.5,1.5,2.0,1.5,0.11548884659389946,8.768827400702774,7.894731404702821
Panama,5,3.0,1.0,1.0,1.0,0.11377834875423629,25.763339104060698,22.834064330764498
Congo,3,3.0,3.0,0.5,3.0,0.1129084134275757,7.194696730452368,6.3844250960129925
Costa Rica,5,2.0,2.0,0.5,2.0,0.1066839627612753,23.82912380737626,21.370463759940883
Cambodia,5,2.0,1.5,0.5,1.5,0.10511244897465459,22.534022305867744,20.175002423836002
El Salvador,3,2.0,2.0,0.5,2.0,0.10126320535882033,15.280643203370674,13.732651625489368
China,5,3.0,2.0,0.5,2.0,0.10035409445339301,31.763626377780504,28.591180897418838
Burkina Faso,2,3.0,5.0,0.75,5.0,0.10020356363938672,8.543420673704633,7.691720154904212
Belize,5,1.5,3.0,1.0,3.0,0.09773604028932283,19.597670994284858,17.704681104476613
Dominican Republic,5,3.0,1.5,1.25,1.5,0.09617041980011395,24.22214368396984,21.928139205383395
Pakistan,5,3.0,2.0,0.5,2.0,0.09554105913514813,35.16758363030134,31.892940313271755
Peru,5,3.0,2.0,0.5,2.0,0.09312002861310596,41.75715883720935,37.97943842054861
Laos,5,0.5,0.5,2.0,0.5,0.09004925510152152,10.382018361432106,9.508606397480966
Mauritius,5,3.0,1.5,2.0,1.5,0.0878894211495196,28.15058777967589,25.70747598638784
Saudi Arabia,5,3.0,3.0,1.0,3.0,0.08749600345882995,23.579274633289636,21.537720539676748
Colombia,5,2.0,3.0,0.5,3.0,0.08396024240176883,21.223898116896304,19.458555730483322
Mexico,5,3.0,3.0,2.0,3.0,0.0838057969638831,27.641373562237995,25.32853090427911
Slovenia,5,3.0,1.0,1.0,1.0,0.0837747928318775,26.404407865986684,24.217173777473498
Cote d'Ivoire,3,3.0,5.0,0.5,5.0,0.08315463940582375,7.329407858803088,6.7244193116732545
Egypt,5,2.0,5.0,2.0,5.0,0.08174124553270787,27.08910493999513,24.874251017557746
Guatemala,5,2.0,5.0,0.5,5.0,0.08160035592702816,22.096711027504703,20.314977930308523
Mozambique,1,3.0,1.5,0.5,1.5,0.08080716332608691,12.053353429326492,11.079356130135857
Kenya,5,3.0,5.0,0.5,5.0,0.07902138777470638,27.701066235630908,25.417098485267054
Mongolia,5,3.0,1.0,1.0,1.0,0.07885665712076509,18.23802864528792,16.802941134018056
Bolivia,2,1.5,2.0,1.25,2.0,0.07825804391810767,14.318783219783393,13.219231359369303
Jamaica,5,1.5,5.0,0.5,5.0,0.07809709291255354,19.59163962644048,18.07714633752014
Lebanon,5,1.5,5.0,0.5,5.0,0.0731663585752959,31.372493245555386,29.24414271740876
Djibouti,5,2.0,5.0,0.5,5.0,0.0717150501065789,10.51503837285316,9.762209486396397
Russia,5,3.0,5.0,0.5,5.0,0.07154745264801914,30.604140163592945,28.415194601621636
Nepal,4,2.0,2.0,0.5,2.0,0.07065514703158216,18.869788037389217,17.562739349889114
